task,optimal,distance,time_sec,gap_pct,status
eil51.tsp,426,426.0,0.0,0.0,OK
st70.tsp,675,675.0,0.0,0.0,OK
eil101.tsp,629,629.0,0.0,0.0,OK
rd100.tsp,7190,7910.0,0.0,10.013908205841446,OK
a280.tsp,2579,2579.0,0.0,0.0,OK
lin318.tsp,42029,42331.0,0.01,0.7185514763615598,OK
rat575.tsp,6773,6775.0,0.01,0.029529012254540087,OK
pa561.tsp,2763,2766.0,0.03,0.10857763300760044,OK
rd400.tsp,15281,15282.0,0.01,0.00654407434068451,OK
pr1002.tsp,259045,259355.0,0.02,0.1196703275492675,OK
# отображается внутреннее время LKH (0.00–0.03 с), а не полное стендовое (wall-clock) время.
